r_p,wavelength,abs_sigma
1.07071e-08,7.36364e-07,2.59503e-18
1.07071e-08,7.2973e-07,2.82221e-18
1.07071e-08,7.23214e-07,3.08628e-18
1.07071e-08,7.16814e-07,3.34968e-18
1.07071e-08,7.10526e-07,3.57199e-18
1.07071e-08,7.04348e-07,3.72046e-18
1.07071e-08,6.98276e-07,3.77966e-18
1.07071e-08,6.92308e-07,3.75815e-18
1.07071e-08,6.86441e-07,3.69047e-18
1.07071e-08,6.80672e-07,3.63366e-18
1.07071e-08,6.75e-07,3.65879e-18
1.07071e-08,6.69421e-07,3.8389e-18
1.07071e-08,6.63934e-07,4.23569e-18
1.07071e-08,6.58537e-07,4.88768e-18
1.07071e-08,6.53226e-07,5.80231e-18
1.07071e-08,6.48e-07,6.95388e-18
1.07071e-08,6.42857e-07,8.2883e-18
1.07071e-08,6.37795e-07,9.73405e-18
1.07071e-08,6.32813e-07,1.12178e-17
1.07071e-08,6.27907e-07,1.26819e-17
1.07071e-08,6.23077e-07,1.41012e-17
1.07071e-08,6.18321e-07,1.5495e-17
1.07071e-08,6.13636e-07,1.69331e-17
1.07071e-08,6.09023e-07,1.8533e-17
1.07071e-08,6.04478e-07,2.045e-17
1.07071e-08,6e-07,2.2859e-17
1.07071e-08,5.95588e-07,2.5934e-17
1.07071e-08,5.91241e-07,2.98244e-17
1.07071e-08,5.86957e-07,3.46356e-17
1.07071e-08,5.82734e-07,4.04143e-17
1.07071e-08,5.78571e-07,4.71415e-17
1.07071e-08,5.74468e-07,5.47349e-17
1.07071e-08,5.70423e-07,6.30594e-17
1.07071e-08,5.66434e-07,7.19445e-17
1.07071e-08,5.625e-07,8.12044e-17
1.07071e-08,5.58621e-07,9.06602e-17
1.07071e-08,5.54795e-07,1.00157e-16
1.07071e-08,5.5102e-07,1.09576e-16
1.07071e-08,5.47297e-07,1.1884e-16
1.07071e-08,5.43624e-07,1.27907e-16
1.07071e-08,5.4e-07,1.36758e-16
1.07071e-08,5.36424e-07,1.45386e-16
1.07071e-08,5.32895e-07,1.53766e-16
1.07071e-08,5.29412e-07,1.61849e-16
1.07071e-08,5.25974e-07,1.69539e-16
1.07071e-08,5.22581e-07,1.76695e-16
1.07071e-08,5.19231e-07,1.83131e-16
1.07071e-08,5.15924e-07,1.88629e-16
1.07071e-08,5.12658e-07,1.92963e-16
1.07071e-08,5.09434e-07,1.95922e-16
1.07071e-08,5.0625e-07,1.97339e-16
1.07071e-08,5.03106e-07,1.97119e-16
1.07071e-08,5e-07,1.95255e-16
1.07071e-08,4.96933e-07,1.91844e-16
1.07071e-08,4.93902e-07,1.87081e-16
1.07071e-08,4.90909e-07,1.81251e-16
1.07071e-08,4.87952e-07,1.74705e-16
1.07071e-08,4.8503e-07,1.67827e-16
1.07071e-08,4.82143e-07,1.61005e-16
1.07071e-08,4.7929e-07,1.5459e-16
1.07071e-08,4.76471e-07,1.48869e-16
1.07071e-08,4.73684e-07,1.44042e-16
1.07071e-08,4.7093e-07,1.40208e-16
1.07071e-08,4.68208e-07,1.37366e-16
1.07071e-08,4.65517e-07,1.35427e-16
1.07071e-08,4.62857e-07,1.34233e-16
1.07071e-08,4.60227e-07,1.33586e-16
1.07071e-08,4.57627e-07,1.33277e-16
1.07071e-08,4.55056e-07,1.33116e-16
1.07071e-08,4.52514e-07,1.32956e-16
1.07071e-08,4.5e-07,1.32708e-16
1.14141e-08,1e-06,1.04549e-18
1.14141e-08,9.87805e-07,8.64273e-19
1.14141e-08,9.75904e-07,6.83851e-19
1.14141e-08,9.64286e-07,5.55802e-19
1.14141e-08,9.52941e-07,5.1742e-19
1.14141e-08,9.4186e-07,5.82806e-19
1.14141e-08,9.31034e-07,7.40088e-19
1.14141e-08,9.20455e-07,9.55242e-19
1.14141e-08,9.10112e-07,1.18133e-18
1.14141e-08,9e-07,1.37072e-18
1.14141e-08,8.9011e-07,1.48707e-18
1.14141e-08,8.80435e-07,1.51426e-18
1.14141e-08,8.70968e-07,1.46e-18
1.14141e-08,8.61702e-07,1.35349e-18
1.14141e-08,8.52632e-07,1.23782e-18
1.14141e-08,8.4375e-07,1.15906e-18
1.14141e-08,8.35052e-07,1.15495e-18
1.14141e-08,8.26531e-07,1.24579e-18
1.14141e-08,8.18182e-07,1.42992e-18
1.14141e-08,8.1e-07,1.68461e-18
1.14141e-08,8.0198e-07,1.9722e-18
1.14141e-08,7.94118e-07,2.24972e-18
1.14141e-08,7.86408e-07,2.47976e-18
1.14141e-08,7.78846e-07,2.63963e-18
1.14141e-08,7.71429e-07,2.72675e-18
1.14141e-08,7.64151e-07,2.75881e-18
1.14141e-08,7.57009e-07,2.76881e-18
1.14141e-08,7.5e-07,2.79601e-18
1.14141e-08,7.43119e-07,2.8753e-18
1.14141e-08,7.36364e-07,3.02744e-18
1.14141e-08,7.2973e-07,3.25284e-18
1.14141e-08,7.23214e-07,3.53049e-18
1.14141e-08,7.16814e-07,3.82263e-18
1.14141e-08,7.10526e-07,4.08417e-18
1.14141e-08,7.04348e-07,4.27495e-18
1.14141e-08,6.98276e-07,4.37194e-18
1.14141e-08,6.92308e-07,4.37851e-18
1.14141e-08,6.86441e-07,4.32832e-18
1.14141e-08,6.80672e-07,4.28267e-18
1.14141e-08,6.75e-07,4.32137e-18
1.14141e-08,6.69421e-07,4.52881e-18
1.14141e-08,6.63934e-07,4.97793e-18
1.14141e-08,6.58537e-07,5.71554e-18
1.14141e-08,6.53226e-07,6.75221e-18
1.14141e-08,6.48e-07,8.05933e-18
1.14141e-08,6.42857e-07,9.57433e-18
1.14141e-08,6.37795e-07,1.12138e-17
1.14141e-08,6.32813e-07,1.28922e-17
1.14141e-08,6.27907e-07,1.45432e-17
1.14141e-08,6.23077e-07,1.6139e-17
1.14141e-08,6.18321e-07,1.77046e-17
1.14141e-08,6.13636e-07,1.93239e-17
1.14141e-08,6.09023e-07,2.11346e-17
1.14141e-08,6.04478e-07,2.33153e-17
1.14141e-08,6e-07,2.60627e-17
1.14141e-08,5.95588e-07,2.95663e-17
1.14141e-08,5.91241e-07,3.39822e-17
1.14141e-08,5.86957e-07,3.9411e-17
1.14141e-08,5.82734e-07,4.58848e-17
1.14141e-08,5.78571e-07,5.33634e-17
1.14141e-08,5.74468e-07,6.1742e-17
1.14141e-08,5.70423e-07,7.08684e-17
1.14141e-08,5.66434e-07,8.0566e-17
1.14141e-08,5.625e-07,9.06595e-17
1.14141e-08,5.58621e-07,1.00998e-16
1.14141e-08,5.54795e-07,1.11472e-16
1.14141e-08,5.5102e-07,1.2202e-16
1.14141e-08,5.47297e-07,1.32623e-16
