r_p,wavelength,scat_sigma
1e-08,4.5e-07,4.56378e-19
1e-08,4.55556e-07,4.22972e-19
1e-08,4.61111e-07,3.96777e-19
1e-08,4.66667e-07,3.77178e-19
1e-08,4.72222e-07,3.607e-19
1e-08,4.77778e-07,3.4752e-19
1e-08,4.83333e-07,3.43546e-19
1e-08,4.88889e-07,3.55802e-19
1e-08,4.94444e-07,3.85725e-19
1e-08,5e-07,4.26632e-19
1e-08,5.05556e-07,4.67602e-19
1e-08,5.11111e-07,5.00807e-19
1e-08,5.16667e-07,5.27004e-19
1e-08,5.22222e-07,5.55613e-19
1e-08,5.27778e-07,5.99567e-19
1e-08,5.33333e-07,6.68144e-19
1e-08,5.38889e-07,7.61694e-19
1e-08,5.44444e-07,8.70594e-19
1e-08,5.5e-07,9.78419e-19
1e-08,5.55556e-07,1.06739e-18
1e-08,5.61111e-07,1.12366e-18
1e-08,5.66667e-07,1.14052e-18
1e-08,5.72222e-07,1.1189e-18
1e-08,5.77778e-07,1.0657e-18
1e-08,5.83333e-07,9.90945e-19
1e-08,5.88889e-07,9.05015e-19
1e-08,5.94444e-07,8.16643e-19
1e-08,6e-07,7.31987e-19
1e-08,6.05556e-07,6.54608e-19
1e-08,6.11111e-07,5.85994e-19
1e-08,6.16667e-07,5.26268e-19
1e-08,6.22222e-07,4.74807e-19
1e-08,6.27778e-07,4.30662e-19
1e-08,6.33333e-07,3.9279e-19
1e-08,6.38889e-07,3.60153e-19
1e-08,6.44444e-07,3.3176e-19
1e-08,6.5e-07,3.06715e-19
1e-08,6.55556e-07,2.84257e-19
1e-08,6.61111e-07,2.63809e-19
1e-08,6.66667e-07,2.44997e-19
1e-08,6.72222e-07,2.27646e-19
1e-08,6.77778e-07,2.11724e-19
1e-08,6.83333e-07,1.97286e-19
1e-08,6.88889e-07,1.84388e-19
1e-08,6.94444e-07,1.7304e-19
1e-08,7e-07,1.63161e-19
1e-08,7.05556e-07,1.54583e-19
1e-08,7.11111e-07,1.47072e-19
1e-08,7.16667e-07,1.40361e-19
1e-08,7.22222e-07,1.34199e-19
1e-08,7.27778e-07,1.2838e-19
1e-08,7.33333e-07,1.22767e-19
1e-08,7.38889e-07,1.17298e-19
1e-08,7.44444e-07,1.11972e-19
1e-08,7.5e-07,1.06834e-19
1e-08,7.55556e-07,1.01948e-19
1e-08,7.61111e-07,9.73728e-20
1e-08,7.66667e-07,9.31497e-20
1e-08,7.72222e-07,8.92887e-20
1e-08,7.77778e-07,8.57693e-20
1e-08,7.83333e-07,8.25453e-20
1e-08,7.88889e-07,7.95552e-20
1e-08,7.94444e-07,7.67336e-20
1e-08,8e-07,7.40219e-20
1e-08,8.05556e-07,7.13762e-20
1e-08,8.11111e-07,6.87718e-20
1e-08,8.16667e-07,6.62039e-20
1e-08,8.22222e-07,6.3684e-20
