r_p,wavelength,abs_sigma
1.07071e-08,6.11111e-07,2.04972e-16
1.07071e-08,6.16667e-07,1.58062e-16
1.07071e-08,6.22222e-07,1.16943e-16
1.07071e-08,6.27778e-07,8.5002e-17
1.07071e-08,6.33333e-07,6.29597e-17
1.07071e-08,6.38889e-07,4.93893e-17
1.07071e-08,6.44444e-07,4.16593e-17
1.07071e-08,6.5e-07,3.69357e-17
1.07071e-08,6.55556e-07,3.29629e-17
1.07071e-08,6.61111e-07,2.84699e-17
1.07071e-08,6.66667e-07,2.3193e-17
1.07071e-08,6.72222e-07,1.76125e-17
1.07071e-08,6.77778e-07,1.25518e-17
1.07071e-08,6.83333e-07,8.78579e-18
1.07071e-08,6.88889e-07,6.76389e-18
1.07071e-08,6.94444e-07,6.49505e-18
1.07071e-08,7e-07,7.58703e-18
1.07071e-08,7.05556e-07,9.39347e-18
1.07071e-08,7.11111e-07,1.1206e-17
1.07071e-08,7.16667e-07,1.24318e-17
1.07071e-08,7.22222e-07,1.27138e-17
1.07071e-08,7.27778e-07,1.19763e-17
1.07071e-08,7.33333e-07,1.03972e-17
1.07071e-08,7.38889e-07,8.32865e-18
1.07071e-08,7.44444e-07,6.19226e-18
1.07071e-08,7.5e-07,4.37678e-18
1.07071e-08,7.55556e-07,3.15966e-18
1.07071e-08,7.61111e-07,2.66451e-18
1.07071e-08,7.66667e-07,2.85666e-18
1.07071e-08,7.72222e-07,3.57107e-18
1.07071e-08,7.77778e-07,4.56151e-18
1.07071e-08,7.83333e-07,5.55783e-18
1.07071e-08,7.88889e-07,6.3194e-18
1.07071e-08,7.94444e-07,6.67538e-18
1.07071e-08,8e-07,6.5469e-18
1.07071e-08,8.05556e-07,5.95004e-18
1.07071e-08,8.11111e-07,4.98228e-18
1.07071e-08,8.16667e-07,3.79716e-18
1.07071e-08,8.22222e-07,2.57313e-18
1.07071e-08,8.27778e-07,1.48245e-18
1.07071e-08,8.33333e-07,6.65023e-19
1.07071e-08,8.38889e-07,2.10366e-19
1.07071e-08,8.44444e-07,1.49257e-19
1.07071e-08,8.5e-07,4.54916e-19
1.07071e-08,8.55556e-07,1.05217e-18
1.07071e-08,8.61111e-07,1.83223e-18
1.07071e-08,8.66667e-07,2.6703e-18
1.07071e-08,8.72222e-07,3.44334e-18
1.07071e-08,8.77778e-07,4.04553e-18
1.07071e-08,8.83333e-07,4.39994e-18
1.07071e-08,8.88889e-07,4.46535e-18
1.07071e-08,8.94444e-07,4.23807e-18
1.07071e-08,9e-07,3.74911e-18
1.07071e-08,9.05556e-07,3.05773e-18
1.07071e-08,9.11111e-07,2.24249e-18
1.07071e-08,9.16667e-07,1.39109e-18
1.07071e-08,9.22222e-07,5.90234e-19
1.07071e-08,9.27778e-07,-8.32823e-20
1.07071e-08,9.33333e-07,-5.69679e-19
1.07071e-08,9.38889e-07,-8.30828e-19
1.07071e-08,9.44444e-07,-8.52335e-19
1.07071e-08,9.5e-07,-6.43125e-19
1.07071e-08,9.55556e-07,-2.32892e-19
1.07071e-08,9.61111e-07,3.32144e-19
1.07071e-08,9.66667e-07,9.9455e-19
1.07071e-08,9.72222e-07,1.69151e-18
1.07071e-08,9.77778e-07,2.36055e-18
1.07071e-08,9.83333e-07,2.94477e-18
1.07071e-08,9.88889e-07,3.3971e-18
1.07071e-08,9.94444e-07,3.68336e-18
1.07071e-08,1e-06,3.78412e-18
1.14141e-08,4.5e-07,1.63915e-16
1.14141e-08,4.55556e-07,1.65661e-16
1.14141e-08,4.61111e-07,1.71798e-16
1.14141e-08,4.66667e-07,1.76359e-16
1.14141e-08,4.72222e-07,1.77594e-16
1.14141e-08,4.77778e-07,1.79732e-16
1.14141e-08,4.83333e-07,1.88078e-16
1.14141e-08,4.88889e-07,2.03153e-16
1.14141e-08,4.94444e-07,2.1944e-16
1.14141e-08,5e-07,2.29334e-16
1.14141e-08,5.05556e-07,2.28478e-16
1.14141e-08,5.11111e-07,2.18251e-16
1.14141e-08,5.16667e-07,2.04074e-16
1.14141e-08,5.22222e-07,1.91463e-16
1.14141e-08,5.27778e-07,1.82918e-16
1.14141e-08,5.33333e-07,1.77569e-16
1.14141e-08,5.38889e-07,1.73274e-16
1.14141e-08,5.44444e-07,1.69326e-16
1.14141e-08,5.5e-07,1.67821e-16
1.14141e-08,5.55556e-07,1.72873e-16
1.14141e-08,5.61111e-07,1.88231e-16
1.14141e-08,5.66667e-07,2.14747e-16
1.14141e-08,5.72222e-07,2.49064e-16
1.14141e-08,5.77778e-07,2.84166e-16
1.14141e-08,5.83333e-07,3.11498e-16
1.14141e-08,5.88889e-07,3.23697e-16
1.14141e-08,5.94444e-07,3.16833e-16
1.14141e-08,6e-07,2.91393e-16
1.14141e-08,6.05556e-07,2.51824e-16
1.14141e-08,6.11111e-07,2.04969e-16
1.14141e-08,6.16667e-07,1.58059e-16
1.14141e-08,6.22222e-07,1.16941e-16
1.14141e-08,6.27778e-07,8.5e-17
1.14141e-08,6.33333e-07,6.29574e-17
1.14141e-08,6.38889e-07,4.93869e-17
1.14141e-08,6.44444e-07,4.1657e-17
1.14141e-08,6.5e-07,3.6934e-17
1.14141e-08,6.55556e-07,3.29621e-17
1.14141e-08,6.61111e-07,2.84702e-17
1.14141e-08,6.66667e-07,2.31942e-17
1.14141e-08,6.72222e-07,1.76144e-17
1.14141e-08,6.77778e-07,1.2554e-17
1.14141e-08,6.83333e-07,8.7878e-18
1.14141e-08,6.88889e-07,6.76543e-18
1.14141e-08,6.94444e-07,6.49604e-18
1.14141e-08,7e-07,7.58755e-18
1.14141e-08,7.05556e-07,9.3938e-18
1.14141e-08,7.11111e-07,1.12065e-17
1.14141e-08,7.16667e-07,1.24328e-17
1.14141e-08,7.22222e-07,1.27157e-17
1.14141e-08,7.27778e-07,1.19792e-17
1.14141e-08,7.33333e-07,1.04011e-17
1.14141e-08,7.38889e-07,8.33331e-18
1.14141e-08,7.44444e-07,6.19733e-18
1.14141e-08,7.5e-07,4.38183e-18
1.14141e-08,7.55556e-07,3.16425e-18
1.14141e-08,7.61111e-07,2.66822e-18
1.14141e-08,7.66667e-07,2.85917e-18
1.14141e-08,7.72222e-07,3.57216e-18
1.14141e-08,7.77778e-07,4.56106e-18
1.14141e-08,7.83333e-07,5.55585e-18
1.14141e-08,7.88889e-07,6.31595e-18
1.14141e-08,7.94444e-07,6.67058e-18
1.14141e-08,8e-07,6.54086e-18
1.14141e-08,8.05556e-07,5.94288e-18
1.14141e-08,8.11111e-07,4.97408e-18
1.14141e-08,8.16667e-07,3.78798e-18
1.14141e-08,8.22222e-07,2.56298e-18
1.14141e-08,8.27778e-07,1.47133e-18
1.14141e-08,8.33333e-07,6.52924e-19
1.14141e-08,8.38889e-07,1.97283e-19
1.14141e-08,8.44444e-07,1.35209e-19
1.14141e-08,8.5e-07,4.39954e-19
1.14141e-08,8.55556e-07,1.03638e-18
1.14141e-08,8.61111e-07,1.81574e-18
1.14141e-08,8.66667e-07,2.65327e-18
1.14141e-08,8.72222e-07,3.42595e-18
1.14141e-08,8.77778e-07,4.02798e-18
1.14141e-08,8.83333e-07,4.38243e-18
1.14141e-08,8.88889e-07,4.44808e-18
1.14141e-08,8.94444e-07,4.22121e-18
1.14141e-08,9e-07,3.73281e-18
1.14141e-08,9.05556e-07,3.04211e-18
1.14141e-08,9.11111e-07,2.22766e-18
1.14141e-08,9.16667e-07,1.3771e-18
1.14141e-08,9.22222e-07,5.77148e-19
1.14141e-08,9.27778e-07,-9.54443e-20
1.14141e-08,9.33333e-07,-5.80902e-19
1.14141e-08,9.38889e-07,-8.41106e-19
1.14141e-08,9.44444e-07,-8.61667e-19
1.14141e-08,9.5e-07,-6.51515e-19
1.14141e-08,9.55556e-07,-2.40343e-19
1.14141e-08,9.61111e-07,3.25623e-19
1.14141e-08,9.66667e-07,9.88948e-19
1.14141e-08,9.72222e-07,1.6868e-18
1.14141e-08,9.77778e-07,2.35671e-18
1.14141e-08,9.83333e-07,2.94176e-18
1.14141e-08,9.88889e-07,3.39485e-18
1.14141e-08,9.94444e-07,3.6818e-18
1.14141e-08,1e-06,3.78314e-18
1.21212e-08,4.5e-07,1.39558e-16
1.21212e-08,4.55556e-07,1.37868e-16
1.21212e-08,4.61111e-07,1.39291e-16
1.21212e-08,4.66667e-07,1.45158e-16
1.21212e-08,4.72222e-07,1.55505e-16
1.21212e-08,4.77778e-07,1.69008e-16
1.21212e-08,4.83333e-07,1.83333e-16
1.21212e-08,4.88889e-07,1.95735e-16
1.21212e-08,4.94444e-07,2.03697e-16
1.21212e-08,5e-07,2.05455e-16
1.21212e-08,5.05556e-07,2.00281e-16
1.21212e-08,5.11111e-07,1.8852e-16
1.21212e-08,5.16667e-07,1.71407e-16
1.21212e-08,5.22222e-07,1.50751e-16
1.21212e-08,5.27778e-07,1.28566e-16
1.21212e-08,5.33333e-07,1.06735e-16
1.21212e-08,5.38889e-07,8.6765e-17
1.21212e-08,5.44444e-07,6.96484e-17
1.21212e-08,5.5e-07,5.58354e-17
1.21212e-08,5.55556e-07,4.52981e-17
1.21212e-08,5.61111e-07,3.76514e-17
1.21212e-08,5.66667e-07,3.22977e-17
1.21212e-08,5.72222e-07,2.85677e-17
1.21212e-08,5.77778e-07,2.58345e-17
1.21212e-08,5.83333e-07,2.35911e-17
1.21212e-08,5.88889e-07,2.14882e-17
1.21212e-08,5.94444e-07,1.93374e-17
1.21212e-08,6e-07,1.70879e-17
1.21212e-08,6.05556e-07,1.47887e-17
1.21212e-08,6.11111e-07,1.25449e-17
1.21212e-08,6.16667e-07,1.04772e-17
1.21212e-08,6.22222e-07,8.69053e-18
1.21212e-08,6.27778e-07,7.2531e-18
1.21212e-08,6.33333e-07,6.18801e-18
1.21212e-08,6.38889e-07,5.4744e-18
1.21212e-08,6.44444e-07,5.05606e-18
1.21212e-08,6.5e-07,4.85433e-18
1.21212e-08,6.55556e-07,4.78218e-18
1.21212e-08,6.61111e-07,4.75721e-18
1.21212e-08,6.66667e-07,4.7116e-18
1.21212e-08,6.72222e-07,4.59849e-18
1.21212e-08,6.77778e-07,4.39435e-18
1.21212e-08,6.83333e-07,4.09779e-18
1.21212e-08,6.88889e-07,3.72588e-18
1.21212e-08,6.94444e-07,3.30851e-18
1.21212e-08,7e-07,2.88227e-18
1.21212e-08,7.05556e-07,2.48441e-18
1.21212e-08,7.11111e-07,2.14769e-18
1.21212e-08,7.16667e-07,1.89657e-18
1.21212e-08,7.22222e-07,1.74501e-18
1.21212e-08,7.27778e-07,1.69568e-18
1.21212e-08,7.33333e-07,1.7407e-18
1.21212e-08,7.38889e-07,1.86331e-18
1.21212e-08,7.44444e-07,2.04036e-18
1.21212e-08,7.5e-07,2.24512e-18
1.21212e-08,7.55556e-07,2.45015e-18
1.21212e-08,7.61111e-07,2.62988e-18
1.21212e-08,7.66667e-07,2.76272e-18
1.21212e-08,7.72222e-07,2.83265e-18
1.21212e-08,7.77778e-07,2.83007e-18
1.21212e-08,7.83333e-07,2.75204e-18
1.21212e-08,7.88889e-07,2.60199e-18
1.21212e-08,7.94444e-07,2.38886e-18
1.21212e-08,8e-07,2.12603e-18
1.21212e-08,8.05556e-07,1.82993e-18
1.21212e-08,8.11111e-07,1.51858e-18
1.21212e-08,8.16667e-07,1.21023e-18
1.21212e-08,8.22222e-07,9.22025e-19
1.21212e-08,8.27778e-07,6.69013e-19
1.21212e-08,8.33333e-07,4.6326e-19
1.21212e-08,8.38889e-07,3.13335e-19
1.21212e-08,8.44444e-07,2.24033e-19
1.21212e-08,8.5e-07,1.96374e-19
1.21212e-08,8.55556e-07,2.27819e-19
1.21212e-08,8.61111e-07,3.12683e-19
1.21212e-08,8.66667e-07,4.42687e-19
1.21212e-08,8.72222e-07,6.07606e-19
1.21212e-08,8.77778e-07,7.95957e-19
1.21212e-08,8.83333e-07,9.95702e-19
1.21212e-08,8.88889e-07,1.1949e-18
1.21212e-08,8.94444e-07,1.3823e-18
1.21212e-08,9e-07,1.54785e-18
1.21212e-08,9.05556e-07,1.68312e-18
1.21212e-08,9.11111e-07,1.78152e-18
1.21212e-08,9.16667e-07,1.83855e-18
1.21212e-08,9.22222e-07,1.85182e-18
1.21212e-08,9.27778e-07,1.82104e-18
1.21212e-08,9.33333e-07,1.74784e-18
1.21212e-08,9.38889e-07,1.63563e-18
1.21212e-08,9.44444e-07,1.48931e-18
1.21212e-08,9.5e-07,1.31497e-18
1.21212e-08,9.55556e-07,1.1196e-18
1.21212e-08,9.61111e-07,9.10731e-19
1.21212e-08,9.66667e-07,6.96103e-19
1.21212e-08,9.72222e-07,4.83397e-19
1.21212e-08,9.77778e-07,2.79932e-19
1.21212e-08,9.83333e-07,9.24266e-20
1.21212e-08,9.88889e-07,-7.31961e-20
1.21212e-08,9.94444e-07,-2.11971e-19
1.21212e-08,1e-06,-3.20001e-19
1.28283e-08,4.5e-07,2.34827e-16
1.28283e-08,4.55556e-07,2.36217e-16
1.28283e-08,4.61111e-07,2.39545e-16
1.28283e-08,4.66667e-07,2.45505e-16
1.28283e-08,4.72222e-07,2.54986e-16
1.28283e-08,4.77778e-07,2.6867e-16
1.28283e-08,4.83333e-07,2.86578e-16
1.28283e-08,4.88889e-07,3.07765e-16
1.28283e-08,4.94444e-07,3.30275e-16
1.28283e-08,5e-07,3.51394e-16
1.28283e-08,5.05556e-07,3.68116e-16
1.28283e-08,5.11111e-07,3.77698e-16
1.28283e-08,5.16667e-07,3.78161e-16
1.28283e-08,5.22222e-07,3.68627e-16
1.28283e-08,5.27778e-07,3.49424e-16
1.28283e-08,5.33333e-07,3.21979e-16
1.28283e-08,5.38889e-07,2.88525e-16
1.28283e-08,5.44444e-07,2.51717e-16
1.28283e-08,5.5e-07,2.14231e-16
1.28283e-08,5.55556e-07,1.78424e-16
1.28283e-08,5.61111e-07,1.46091e-16
1.28283e-08,5.66667e-07,1.18348e-16
1.28283e-08,5.72222e-07,9.56403e-17
1.28283e-08,5.77778e-07,7.78298e-17
1.28283e-08,5.83333e-07,6.43529e-17
1.28283e-08,5.88889e-07,5.43944e-17
1.28283e-08,5.94444e-07,4.70553e-17
1.28283e-08,6e-07,4.14885e-17
1.28283e-08,6.05556e-07,3.69916e-17
1.28283e-08,6.11111e-07,3.30539e-17
1.28283e-08,6.16667e-07,2.93633e-17
1.28283e-08,6.22222e-07,2.57819e-17
1.28283e-08,6.27778e-07,2.23039e-17
1.28283e-08,6.33333e-07,1.90049e-17
1.28283e-08,6.38889e-07,1.59948e-17
1.28283e-08,6.44444e-07,1.33783e-17
1.28283e-08,6.5e-07,1.12292e-17
1.28283e-08,6.55556e-07,9.57584e-18
