r_p,wavelength,abs_sigma
4e-08,6.5e-07,7.52657e-16
4e-08,6.47095e-07,7.73644e-16
4e-08,6.44216e-07,7.9986e-16
4e-08,6.41362e-07,8.31389e-16
4e-08,6.38534e-07,8.67529e-16
4e-08,6.3573e-07,9.06961e-16
4e-08,6.32951e-07,9.48064e-16
4e-08,6.30196e-07,9.89304e-16
4e-08,6.27465e-07,1.02962e-15
4e-08,6.24757e-07,1.0687e-15
4e-08,6.22073e-07,1.10717e-15
4e-08,6.19412e-07,1.14654e-15
4e-08,6.16773e-07,1.18895e-15
4e-08,6.14157e-07,1.23688e-15
4e-08,6.11563e-07,1.29268e-15
4e-08,6.08991e-07,1.35819e-15
4e-08,6.0644e-07,1.43443e-15
4e-08,6.0391e-07,1.52151e-15
4e-08,6.01402e-07,1.61873e-15
4e-08,5.98914e-07,1.72488e-15
4e-08,5.96447e-07,1.83872e-15
4e-08,5.94e-07,1.95955e-15
4e-08,5.91573e-07,2.08767e-15
4e-08,5.89166e-07,2.22479e-15
4e-08,5.86778e-07,2.37415e-15
4e-08,5.8441e-07,2.54035e-15
4e-08,5.8206e-07,2.72891e-15
4e-08,5.7973e-07,2.94558e-15
4e-08,5.77418e-07,3.1955e-15
4e-08,5.75124e-07,3.48235e-15
4e-08,5.72849e-07,3.80763e-15
4e-08,5.70591e-07,4.17014e-15
4e-08,5.68351e-07,4.5659e-15
4e-08,5.66129e-07,4.98839e-15
4e-08,5.63924e-07,5.42918e-15
4e-08,5.61736e-07,5.8789e-15
4e-08,5.59565e-07,6.32829e-15
4e-08,5.57411e-07,6.76933e-15
4e-08,5.55273e-07,7.19617e-15
4e-08,5.53152e-07,7.60581e-15
4e-08,5.51047e-07,7.99823e-15
4e-08,5.48957e-07,8.37623e-15
4e-08,5.46884e-07,8.74473e-15
4e-08,5.44826e-07,9.10976e-15
4e-08,5.42784e-07,9.47723e-15
4e-08,5.40756e-07,9.85172e-15
4e-08,5.38744e-07,1.02354e-14
4e-08,5.36747e-07,1.06272e-14
4e-08,5.34765e-07,1.10226e-14
4e-08,5.32797e-07,1.14138e-14
4e-08,5.30843e-07,1.179e-14
4e-08,5.28904e-07,1.21389e-14
4e-08,5.26979e-07,1.24478e-14
4e-08,5.25068e-07,1.27046e-14
4e-08,5.23171e-07,1.28997e-14
4e-08,5.21287e-07,1.30263e-14
4e-08,5.19417e-07,1.30818e-14
4e-08,5.1756e-07,1.30673e-14
4e-08,5.15717e-07,1.29878e-14
4e-08,5.13886e-07,1.28514e-14
4e-08,5.12069e-07,1.26684e-14
4e-08,5.10264e-07,1.24502e-14
4e-08,5.08472e-07,1.22086e-14
4e-08,5.06693e-07,1.19542e-14
4e-08,5.04926e-07,1.1696e-14
4e-08,5.03171e-07,1.14413e-14
4e-08,5.01429e-07,1.1195e-14
4e-08,4.99698e-07,1.09602e-14
4e-08,4.97979e-07,1.07381e-14
4e-08,4.96272e-07,1.05291e-14
4e-08,4.94577e-07,1.03328e-14
4e-08,4.92894e-07,1.01489e-14
4e-08,4.91221e-07,9.97702e-15
4e-08,4.8956e-07,9.81738e-15
4e-08,4.87911e-07,9.67048e-15
4e-08,4.86272e-07,9.53713e-15
4e-08,4.84644e-07,9.41816e-15
4e-08,4.83028e-07,9.31423e-15
4e-08,4.81421e-07,9.22558e-15
4e-08,4.79826e-07,9.1519e-15
4e-08,4.78241e-07,9.09231e-15
4e-08,4.76667e-07,9.0454e-15
4e-08,4.75103e-07,9.00948e-15
4e-08,4.73549e-07,8.98274e-15
4e-08,4.72005e-07,8.96351e-15
4e-08,4.70471e-07,8.95051e-15
4e-08,4.68947e-07,8.94295e-15
4e-08,4.67433e-07,8.94061e-15
4e-08,4.65929e-07,8.94375e-15
4e-08,4.64435e-07,8.95299e-15
4e-08,4.6295e-07,8.96908e-15
4e-08,4.61474e-07,8.99272e-15
4e-08,4.60008e-07,9.02434e-15
4e-08,4.58551e-07,9.06394e-15
4e-08,4.57103e-07,9.1111e-15
4e-08,4.55665e-07,9.16495e-15
4e-08,4.54235e-07,9.22432e-15
4e-08,4.52815e-07,9.28795e-15
4e-08,4.51403e-07,9.35463e-15
4e-08,4.5e-07,9.42343e-15
4.08081e-08,6.5e-07,7.7028e-16
4.08081e-08,6.47095e-07,7.9125e-16
4.08081e-08,6.44216e-07,8.13108e-16
4.08081e-08,6.41362e-07,8.36328e-16
4.08081e-08,6.38534e-07,8.61411e-16
4.08081e-08,6.3573e-07,8.88815e-16
4.08081e-08,6.32951e-07,9.18895e-16
4.08081e-08,6.30196e-07,9.51868e-16
4.08081e-08,6.27465e-07,9.87804e-16
4.08081e-08,6.24757e-07,1.02664e-15
4.08081e-08,6.22073e-07,1.06825e-15
4.08081e-08,6.19412e-07,1.1125e-15
4.08081e-08,6.16773e-07,1.15933e-15
4.08081e-08,6.14157e-07,1.20883e-15
4.08081e-08,6.11563e-07,1.26132e-15
4.08081e-08,6.08991e-07,1.31733e-15
4.08081e-08,6.0644e-07,1.37765e-15
4.08081e-08,6.0391e-07,1.44323e-15
4.08081e-08,6.01402e-07,1.5151e-15
4.08081e-08,5.98914e-07,1.59435e-15
4.08081e-08,5.96447e-07,1.68195e-15
4.08081e-08,5.94e-07,1.77871e-15
4.08081e-08,5.91573e-07,1.88525e-15
4.08081e-08,5.89166e-07,2.00202e-15
4.08081e-08,5.86778e-07,2.12933e-15
4.08081e-08,5.8441e-07,2.26752e-15
4.08081e-08,5.8206e-07,2.41707e-15
4.08081e-08,5.7973e-07,2.57885e-15
4.08081e-08,5.77418e-07,2.75428e-15
4.08081e-08,5.75124e-07,2.94545e-15
4.08081e-08,5.72849e-07,3.15526e-15
4.08081e-08,5.70591e-07,3.38735e-15
4.08081e-08,5.68351e-07,3.64607e-15
4.08081e-08,5.66129e-07,3.93618e-15
4.08081e-08,5.63924e-07,4.26256e-15
4.08081e-08,5.61736e-07,4.62979e-15
4.08081e-08,5.59565e-07,5.04168e-15
4.08081e-08,5.57411e-07,5.50077e-15
4.08081e-08,5.55273e-07,6.00788e-15
4.08081e-08,5.53152e-07,6.56177e-15
4.08081e-08,5.51047e-07,7.15882e-15
4.08081e-08,5.48957e-07,7.793e-15
4.08081e-08,5.46884e-07,8.45588e-15
4.08081e-08,5.44826e-07,9.13692e-15
4.08081e-08,5.42784e-07,9.82383e-15
4.08081e-08,5.40756e-07,1.05032e-14
4.08081e-08,5.38744e-07,1.11609e-14
4.08081e-08,5.36747e-07,1.17833e-14
4.08081e-08,5.34765e-07,1.23573e-14
4.08081e-08,5.32797e-07,1.28715e-14
4.08081e-08,5.30843e-07,1.33165e-14
4.08081e-08,5.28904e-07,1.36852e-14
4.08081e-08,5.26979e-07,1.39735e-14
4.08081e-08,5.25068e-07,1.41797e-14
4.08081e-08,5.23171e-07,1.43052e-14
4.08081e-08,5.21287e-07,1.43536e-14
4.08081e-08,5.19417e-07,1.43307e-14
4.08081e-08,5.1756e-07,1.42439e-14
4.08081e-08,5.15717e-07,1.41019e-14
4.08081e-08,5.13886e-07,1.39139e-14
4.08081e-08,5.12069e-07,1.36895e-14
4.08081e-08,5.10264e-07,1.3438e-14
4.08081e-08,5.08472e-07,1.3168e-14
4.08081e-08,5.06693e-07,1.28874e-14
4.08081e-08,5.04926e-07,1.26033e-14
4.08081e-08,5.03171e-07,1.23213e-14
4.08081e-08,5.01429e-07,1.20463e-14
4.08081e-08,4.99698e-07,1.17818e-14
4.08081e-08,4.97979e-07,1.15306e-14
4.08081e-08,4.96272e-07,1.12947e-14
4.08081e-08,4.94577e-07,1.10752e-14
4.08081e-08,4.92894e-07,1.08726e-14
4.08081e-08,4.91221e-07,1.06872e-14
