r_p,wavelength,scat_sigma
4.16327e-008,4.34694e-007,1.90602e-014
4.16327e-008,4.40816e-007,2.20226e-014
4.16327e-008,4.46939e-007,2.39613e-014
4.16327e-008,4.53061e-007,2.62664e-014
4.16327e-008,4.59184e-007,2.70207e-014
4.16327e-008,4.65306e-007,2.85759e-014
4.16327e-008,4.71429e-007,3.17933e-014
4.16327e-008,4.77551e-007,3.42636e-014
4.16327e-008,4.83673e-007,3.69124e-014
4.16327e-008,4.89796e-007,3.88611e-014
4.16327e-008,4.95918e-007,4.18791e-014
4.16327e-008,5.02041e-007,4.33592e-014
4.16327e-008,5.08163e-007,4.63488e-014
4.16327e-008,5.14286e-007,4.85837e-014
4.16327e-008,5.20408e-007,5.27375e-014
4.16327e-008,5.26531e-007,5.51995e-014
4.16327e-008,5.32653e-007,5.78832e-014
4.16327e-008,5.38776e-007,5.90446e-014
4.16327e-008,5.44898e-007,6.23756e-014
4.16327e-008,5.5102e-007,6.50178e-014
4.16327e-008,5.57143e-007,6.79686e-014
4.16327e-008,5.63265e-007,7.05436e-014
4.16327e-008,5.69388e-007,7.2894e-014
4.16327e-008,5.7551e-007,7.46017e-014
4.16327e-008,5.81633e-007,7.82003e-014
4.16327e-008,5.87755e-007,8.03896e-014
4.16327e-008,5.93878e-007,8.33745e-014
4.16327e-008,6e-007,8.49446e-014
4.2449e-008,3e-007,2.17773e-015
4.2449e-008,3.06122e-007,2.43724e-015
4.2449e-008,3.12245e-007,2.96061e-015
4.2449e-008,3.18367e-007,2.97936e-015
4.2449e-008,3.2449e-007,3.65768e-015
4.2449e-008,3.30612e-007,4.19944e-015
4.2449e-008,3.36735e-007,4.06379e-015
4.2449e-008,3.42857e-007,5.79119e-015
4.2449e-008,3.4898e-007,5.59475e-015
4.2449e-008,3.55102e-007,6.06141e-015
4.2449e-008,3.61224e-007,7.65358e-015
4.2449e-008,3.67347e-007,7.89854e-015
4.2449e-008,3.73469e-007,9.33421e-015
4.2449e-008,3.79592e-007,9.76839e-015
4.2449e-008,3.85714e-007,1.02123e-014
4.2449e-008,3.91837e-007,1.23686e-014
4.2449e-008,3.97959e-007,1.29538e-014
4.2449e-008,4.04082e-007,1.47936e-014
4.2449e-008,4.10204e-007,1.61982e-014
4.2449e-008,4.16327e-007,1.75135e-014
4.2449e-008,4.22449e-007,1.91614e-014
4.2449e-008,4.28571e-007,2.08522e-014
4.2449e-008,4.34694e-007,2.15002e-014
4.2449e-008,4.40816e-007,2.40352e-014
4.2449e-008,4.46939e-007,2.60488e-014
4.2449e-008,4.53061e-007,2.84561e-014
4.2449e-008,4.59184e-007,2.98943e-014
4.2449e-008,4.65306e-007,3.14856e-014
4.2449e-008,4.71429e-007,3.41001e-014
4.2449e-008,4.77551e-007,3.66624e-014
4.2449e-008,4.83673e-007,3.95994e-014
4.2449e-008,4.89796e-007,4.10723e-014
4.2449e-008,4.95918e-007,4.4646e-014
4.2449e-008,5.02041e-007,4.57899e-014
4.2449e-008,5.08163e-007,4.86864e-014
4.2449e-008,5.14286e-007,5.00799e-014
4.2449e-008,5.20408e-007,5.44175e-014
4.2449e-008,5.26531e-007,5.5686e-014
4.2449e-008,5.32653e-007,5.87957e-014
4.2449e-008,5.38776e-007,5.9973e-014
4.2449e-008,5.44898e-007,6.24093e-014
4.2449e-008,5.5102e-007,6.59263e-014
4.2449e-008,5.57143e-007,6.7705e-014
4.2449e-008,5.63265e-007,7.03658e-014
4.2449e-008,5.69388e-007,7.21515e-014
4.2449e-008,5.7551e-007,7.27054e-014
4.2449e-008,5.81633e-007,7.58806e-014
4.2449e-008,5.87755e-007,7.89666e-014
4.2449e-008,5.93878e-007,8.11433e-014
4.2449e-008,6e-007,8.20671e-014
4.32653e-008,3e-007,2.42277e-015
4.32653e-008,3.06122e-007,2.87004e-015
4.32653e-008,3.12245e-007,3.302e-015
4.32653e-008,3.18367e-007,3.17363e-015
4.32653e-008,3.2449e-007,4.15159e-015
4.32653e-008,3.30612e-007,4.63074e-015
4.32653e-008,3.36735e-007,4.78465e-015
4.32653e-008,3.42857e-007,6.33349e-015
4.32653e-008,3.4898e-007,6.36881e-015
4.32653e-008,3.55102e-007,6.81048e-015
4.32653e-008,3.61224e-007,8.3081e-015
4.32653e-008,3.67347e-007,8.97831e-015
4.32653e-008,3.73469e-007,1.03213e-014
4.32653e-008,3.79592e-007,1.07521e-014
4.32653e-008,3.85714e-007,1.13112e-014
4.32653e-008,3.91837e-007,1.31196e-014
4.32653e-008,3.97959e-007,1.41986e-014
4.32653e-008,4.04082e-007,1.6168e-014
4.32653e-008,4.10204e-007,1.75692e-014
4.32653e-008,4.16327e-007,1.878e-014
4.32653e-008,4.22449e-007,1.99955e-014
4.32653e-008,4.28571e-007,2.19564e-014
4.32653e-008,4.34694e-007,2.28714e-014
4.32653e-008,4.40816e-007,2.48412e-014
4.32653e-008,4.46939e-007,2.69735e-014
4.32653e-008,4.53061e-007,2.90378e-014
4.32653e-008,4.59184e-007,3.13051e-014
4.32653e-008,4.65306e-007,3.2735e-014
4.32653e-008,4.71429e-007,3.45529e-014
4.32653e-008,4.77551e-007,3.73048e-014
4.32653e-008,4.83673e-007,4.00849e-014
4.32653e-008,4.89796e-007,4.08846e-014
4.32653e-008,4.95918e-007,4.47173e-014
4.32653e-008,5.02041e-007,4.56944e-014
4.32653e-008,5.08163e-007,4.83646e-014
4.32653e-008,5.14286e-007,4.89731e-014
4.32653e-008,5.20408e-007,5.30121e-014
4.32653e-008,5.26531e-007,5.32333e-014
4.32653e-008,5.32653e-007,5.65577e-014
4.32653e-008,5.38776e-007,5.78986e-014
4.32653e-008,5.44898e-007,5.91556e-014
4.32653e-008,5.5102e-007,6.35351e-014
4.32653e-008,5.57143e-007,6.45464e-014
4.32653e-008,5.63265e-007,6.68359e-014
4.32653e-008,5.69388e-007,6.83467e-014
4.32653e-008,5.7551e-007,6.85307e-014
4.32653e-008,5.81633e-007,7.04255e-014
4.32653e-008,5.87755e-007,7.41788e-014
4.32653e-008,5.93878e-007,7.58332e-014
4.32653e-008,6e-007,7.63595e-014
4.40816e-008,3e-007,2.58877e-015
4.40816e-008,3.06122e-007,3.21316e-015
4.40816e-008,3.12245e-007,3.52577e-015
4.40816e-008,3.18367e-007,3.34673e-015
4.40816e-008,3.2449e-007,4.48046e-015
4.40816e-008,3.30612e-007,4.88701e-015
4.40816e-008,3.36735e-007,5.43532e-015
4.40816e-008,3.42857e-007,6.52752e-015
4.40816e-008,3.4898e-007,6.90571e-015
4.40816e-008,3.55102e-007,7.29422e-015
4.40816e-008,3.61224e-007,8.49214e-015
4.40816e-008,3.67347e-007,9.73989e-015
4.40816e-008,3.73469e-007,1.07177e-014
4.40816e-008,3.79592e-007,1.12526e-014
4.40816e-008,3.85714e-007,1.19698e-014
4.40816e-008,3.91837e-007,1.30705e-014
4.40816e-008,3.97959e-007,1.47712e-014
4.40816e-008,4.04082e-007,1.66168e-014
4.40816e-008,4.10204e-007,1.78961e-014
4.40816e-008,4.16327e-007,1.91384e-014
4.40816e-008,4.22449e-007,1.97611e-014
4.40816e-008,4.28571e-007,2.18937e-014
4.40816e-008,4.34694e-007,2.30135e-014
4.40816e-008,4.40816e-007,2.45544e-014
4.40816e-008,4.46939e-007,2.65597e-014
4.40816e-008,4.53061e-007,2.82365e-014
4.40816e-008,4.59184e-007,3.08867e-014
4.40816e-008,4.65306e-007,3.2039e-014
4.40816e-008,4.71429e-007,3.33345e-014
4.40816e-008,4.77551e-007,3.61389e-014
4.40816e-008,4.83673e-007,3.84102e-014
4.40816e-008,4.89796e-007,3.88431e-014
4.40816e-008,4.95918e-007,4.22903e-014
4.40816e-008,5.02041e-007,4.33414e-014
4.40816e-008,5.08163e-007,4.56018e-014
4.40816e-008,5.14286e-007,4.59349e-014
4.40816e-008,5.20408e-007,4.91714e-014
4.40816e-008,5.26531e-007,4.91023e-014
4.40816e-008,5.32653e-007,5.21253e-014
4.40816e-008,5.38776e-007,5.36068e-014
4.40816e-008,5.44898e-007,5.40567e-014
4.40816e-008,5.5102e-007,5.85189e-014
4.40816e-008,5.57143e-007,5.9444e-014
4.40816e-008,5.63265e-007,6.1241e-014
4.40816e-008,5.69388e-007,6.24736e-014
4.40816e-008,5.7551e-007,6.28911e-014
4.40816e-008,5.81633e-007,6.35959e-014
4.40816e-008,5.87755e-007,6.73831e-014
4.40816e-008,5.93878e-007,6.8848e-014
4.40816e-008,6e-007,6.9302e-014
4.4898e-008,3e-007,2.66875e-015
4.4898e-008,3.06122e-007,3.35605e-015
4.4898e-008,3.12245e-007,3.58261e-015
4.4898e-008,3.18367e-007,3.51244e-015
4.4898e-008,3.2449e-007,4.58895e-015
4.4898e-008,3.30612e-007,4.98717e-015
4.4898e-008,3.36735e-007,5.76827e-015
4.4898e-008,3.42857e-007,6.39139e-015
4.4898e-008,3.4898e-007,7.04244e-015
4.4898e-008,3.55102e-007,7.40997e-015
4.4898e-008,3.61224e-007,8.28702e-015
4.4898e-008,3.67347e-007,9.93193e-015
4.4898e-008,3.73469e-007,1.05075e-014
4.4898e-008,3.79592e-007,1.11983e-014
4.4898e-008,3.85714e-007,1.19764e-014
4.4898e-008,3.91837e-007,1.246e-014
4.4898e-008,3.97959e-007,1.45744e-014
4.4898e-008,4.04082e-007,1.60643e-014
4.4898e-008,4.10204e-007,1.71526e-014
4.4898e-008,4.16327e-007,1.84982e-014
4.4898e-008,4.22449e-007,1.8774e-014
4.4898e-008,4.28571e-007,2.0669e-014
4.4898e-008,4.34694e-007,2.20788e-014
4.4898e-008,4.40816e-007,2.33087e-014
4.4898e-008,4.46939e-007,2.4861e-014
4.4898e-008,4.53061e-007,2.64089e-014
4.4898e-008,4.59184e-007,2.87658e-014
4.4898e-008,4.65306e-007,2.96929e-014
4.4898e-008,4.71429e-007,3.08674e-014
4.4898e-008,4.77551e-007,3.33228e-014
4.4898e-008,4.83673e-007,3.51388e-014
4.4898e-008,4.89796e-007,3.56357e-014
4.4898e-008,4.95918e-007,3.8238e-014
4.4898e-008,5.02041e-007,3.94191e-014
4.4898e-008,5.08163e-007,4.11617e-014
4.4898e-008,5.14286e-007,4.17169e-014
4.4898e-008,5.20408e-007,4.40162e-014
4.4898e-008,5.26531e-007,4.42221e-014
4.4898e-008,5.32653e-007,4.66465e-014
4.4898e-008,5.38776e-007,4.81131e-014
4.4898e-008,5.44898e-007,4.82563e-014
4.4898e-008,5.5102e-007,5.20429e-014
4.4898e-008,5.57143e-007,5.32667e-014
4.4898e-008,5.63265e-007,5.46962e-014
4.4898e-008,5.69388e-007,5.56285e-014
4.4898e-008,5.7551e-007,5.62769e-014
4.4898e-008,5.81633e-007,5.65766e-014
4.4898e-008,5.87755e-007,5.9927e-014
4.4898e-008,5.93878e-007,6.12478e-014
4.4898e-008,6e-007,6.18244e-014
4.57143e-008,3e-007,2.63209e-015
4.57143e-008,3.06122e-007,3.24928e-015
4.57143e-008,3.12245e-007,3.43796e-015
4.57143e-008,3.18367e-007,3.55188e-015
4.57143e-008,3.2449e-007,4.43252e-015
4.57143e-008,3.30612e-007,4.86381e-015
4.57143e-008,3.36735e-007,5.63926e-015
4.57143e-008,3.42857e-007,5.97641e-015
4.57143e-008,3.4898e-007,6.71572e-015
4.57143e-008,3.55102e-007,7.10372e-015
4.57143e-008,3.61224e-007,7.76575e-015
4.57143e-008,3.67347e-007,9.42726e-015
4.57143e-008,3.73469e-007,9.76033e-015
4.57143e-008,3.79592e-007,1.0529e-014
4.57143e-008,3.85714e-007,1.12341e-014
4.57143e-008,3.91837e-007,1.14826e-014
4.57143e-008,3.97959e-007,1.36002e-014
4.57143e-008,4.04082e-007,1.46875e-014
4.57143e-008,4.10204e-007,1.55671e-014
4.57143e-008,4.16327e-007,1.69306e-014
4.57143e-008,4.22449e-007,1.71031e-014
4.57143e-008,4.28571e-007,1.85759e-014
4.57143e-008,4.34694e-007,2.0198e-014
4.57143e-008,4.40816e-007,2.11528e-014
4.57143e-008,4.46939e-007,2.22175e-014
4.57143e-008,4.53061e-007,2.37473e-014
4.57143e-008,4.59184e-007,2.54808e-014
4.57143e-008,4.65306e-007,2.63217e-014
4.57143e-008,4.71429e-007,2.75377e-014
4.57143e-008,4.77551e-007,2.93714e-014
4.57143e-008,4.83673e-007,3.09869e-014
4.57143e-008,4.89796e-007,3.16149e-014
4.57143e-008,4.95918e-007,3.34071e-014
4.57143e-008,5.02041e-007,3.46329e-014
4.57143e-008,5.08163e-007,3.59351e-014
4.57143e-008,5.14286e-007,3.68223e-014
4.57143e-008,5.20408e-007,3.84543e-014
4.57143e-008,5.26531e-007,3.88951e-014
4.57143e-008,5.32653e-007,4.08604e-014
4.57143e-008,5.38776e-007,4.22036e-014
4.57143e-008,5.44898e-007,4.22432e-014
4.57143e-008,5.5102e-007,4.52074e-014
4.57143e-008,5.57143e-007,4.66223e-014
4.57143e-008,5.63265e-007,4.77591e-014
4.57143e-008,5.69388e-007,4.8632e-014
4.57143e-008,5.7551e-007,4.92715e-014
4.57143e-008,5.81633e-007,4.96982e-014
4.57143e-008,5.87755e-007,5.23996e-014
4.57143e-008,5.93878e-007,5.35621e-014
4.57143e-008,6e-007,5.42845e-014
4.65306e-008,3e-007,2.45305e-015
4.65306e-008,3.06122e-007,2.9371e-015
4.65306e-008,3.12245e-007,3.11732e-015
4.65306e-008,3.18367e-007,3.35628e-015
4.65306e-008,3.2449e-007,4.02341e-015
4.65306e-008,3.30612e-007,4.45895e-015
4.65306e-008,3.36735e-007,5.1059e-015
4.65306e-008,3.42857e-007,5.34931e-015
4.65306e-008,3.4898e-007,6.02294e-015
4.65306e-008,3.55102e-007,6.42578e-015
4.65306e-008,3.61224e-007,6.97102e-015
4.65306e-008,3.67347e-007,8.35967e-015
4.65306e-008,3.73469e-007,8.61296e-015
4.65306e-008,3.79592e-007,9.34687e-015
4.65306e-008,3.85714e-007,9.92793e-015
4.65306e-008,3.91837e-007,1.02173e-014
4.65306e-008,3.97959e-007,1.20184e-014
4.65306e-008,4.04082e-007,1.28258e-014
4.65306e-008,4.10204e-007,1.35208e-014
4.65306e-008,4.16327e-007,1.47488e-014
4.65306e-008,4.22449e-007,1.49198e-014
4.65306e-008,4.28571e-007,1.60989e-014
4.65306e-008,4.34694e-007,1.7618e-014
4.65306e-008,4.40816e-007,1.83746e-014
4.65306e-008,4.46939e-007,1.91681e-014
4.65306e-008,4.53061e-007,2.05384e-014
4.65306e-008,4.59184e-007,2.17701e-014
4.65306e-008,4.65306e-007,2.26047e-014
4.65306e-008,4.71429e-007,2.37751e-014
4.65306e-008,4.77551e-007,2.50951e-014
4.65306e-008,4.83673e-007,2.66057e-014
4.65306e-008,4.89796e-007,2.71793e-014
4.65306e-008,4.95918e-007,2.8468e-014
4.65306e-008,5.02041e-007,2.96514e-014
4.65306e-008,5.08163e-007,3.07056e-014
4.65306e-008,5.14286e-007,3.17257e-014
4.65306e-008,5.20408e-007,3.30315e-014
4.65306e-008,5.26531e-007,3.34864e-014
4.65306e-008,5.32653e-007,3.51883e-014
4.65306e-008,5.38776e-007,3.64121e-014
4.65306e-008,5.44898e-007,3.64398e-014
4.65306e-008,5.5102e-007,3.87766e-014
4.65306e-008,5.57143e-007,4.00982e-014
4.65306e-008,5.63265e-007,4.10095e-014
4.65306e-008,5.69388e-007,4.20142e-014
4.65306e-008,5.7551e-007,4.25844e-014
4.65306e-008,5.81633e-007,4.31684e-014
4.65306e-008,5.87755e-007,4.5266e-014
4.65306e-008,5.93878e-007,4.62656e-014
4.65306e-008,6e-007,4.70672e-014
4.73469e-008,3e-007,2.16407e-015
4.73469e-008,3.06122e-007,2.53172e-015
4.73469e-008,3.12245e-007,2.7138e-015
4.73469e-008,3.18367e-007,2.98236e-015
4.73469e-008,3.2449e-007,3.48304e-015
4.73469e-008,3.30612e-007,3.87314e-015
4.73469e-008,3.36735e-007,4.38276e-015
4.73469e-008,3.42857e-007,4.62964e-015
4.73469e-008,3.4898e-007,5.1817e-015
4.73469e-008,3.55102e-007,5.55691e-015
4.73469e-008,3.61224e-007,6.03135e-015
4.73469e-008,3.67347e-007,7.0815e-015
4.73469e-008,3.73469e-007,7.33831e-015
4.73469e-008,3.79592e-007,7.98192e-015
4.73469e-008,3.85714e-007,8.45959e-015
4.73469e-008,3.91837e-007,8.82283e-015
4.73469e-008,3.97959e-007,1.02205e-014
4.73469e-008,4.04082e-007,1.0883e-014
4.73469e-008,4.10204e-007,1.14512e-014
4.73469e-008,4.16327e-007,1.2461e-014
4.73469e-008,4.22449e-007,1.2701e-014
4.73469e-008,4.28571e-007,1.3706e-014
4.73469e-008,4.34694e-007,1.49026e-014
4.73469e-008,4.40816e-007,1.55748e-014
4.73469e-008,4.46939e-007,1.62587e-014
4.73469e-008,4.53061e-007,1.73626e-014
4.73469e-008,4.59184e-007,1.83295e-014
4.73469e-008,4.65306e-007,1.91358e-014
4.73469e-008,4.71429e-007,2.01577e-014
4.73469e-008,4.77551e-007,2.12281e-014
4.73469e-008,4.83673e-007,2.2556e-014
4.73469e-008,4.89796e-007,2.30309e-014
4.73469e-008,4.95918e-007,2.40554e-014
4.73469e-008,5.02041e-007,2.51378e-014
4.73469e-008,5.08163e-007,2.60883e-014
4.73469e-008,5.14286e-007,2.70459e-014
4.73469e-008,5.20408e-007,2.81787e-014
4.73469e-008,5.26531e-007,2.86398e-014
4.73469e-008,5.32653e-007,3.00802e-014
4.73469e-008,5.38776e-007,3.12072e-014
4.73469e-008,5.44898e-007,3.13473e-014
4.73469e-008,5.5102e-007,3.32268e-014
4.73469e-008,5.57143e-007,3.43495e-014
4.73469e-008,5.63265e-007,3.516e-014
4.73469e-008,5.69388e-007,3.61897e-014
4.73469e-008,5.7551e-007,3.67787e-014
4.73469e-008,5.81633e-007,3.74328e-014
4.73469e-008,5.87755e-007,3.9099e-014
4.73469e-008,5.93878e-007,3.99561e-014
4.73469e-008,6e-007,4.07593e-014
4.81633e-008,3e-007,1.85578e-015
4.81633e-008,3.06122e-007,2.15155e-015
4.81633e-008,3.12245e-007,2.33585e-015
4.81633e-008,3.18367e-007,2.58067e-015
4.81633e-008,3.2449e-007,2.97374e-015
4.81633e-008,3.30612e-007,3.30597e-015
4.81633e-008,3.36735e-007,3.70346e-015
4.81633e-008,3.42857e-007,3.97267e-015
4.81633e-008,3.4898e-007,4.41388e-015
4.81633e-008,3.55102e-007,4.73474e-015
4.81633e-008,3.61224e-007,5.16492e-015
4.81633e-008,3.67347e-007,5.95384e-015
4.81633e-008,3.73469e-007,6.23433e-015
4.81633e-008,3.79592e-007,6.78583e-015
4.81633e-008,3.85714e-007,7.19113e-015
4.81633e-008,3.91837e-007,7.57485e-015
4.81633e-008,3.97959e-007,8.64744e-015
4.81633e-008,4.04082e-007,9.22017e-015
4.81633e-008,4.10204e-007,9.72766e-015
4.81633e-008,4.16327e-007,1.0548e-014
4.81633e-008,4.22449e-007,1.08644e-014
4.81633e-008,4.28571e-007,1.1733e-014
4.81633e-008,4.34694e-007,1.26508e-014
4.81633e-008,4.40816e-007,1.3291e-014
4.81633e-008,4.46939e-007,1.38928e-014
4.81633e-008,4.53061e-007,1.48055e-014
4.81633e-008,4.59184e-007,1.56189e-014
4.81633e-008,4.65306e-007,1.63501e-014
4.81633e-008,4.71429e-007,1.72391e-014
4.81633e-008,4.77551e-007,1.81886e-014
4.81633e-008,4.83673e-007,1.9294e-014
4.81633e-008,4.89796e-007,1.97829e-014
4.81633e-008,4.95918e-007,2.06517e-014
4.81633e-008,5.02041e-007,2.16037e-014
4.81633e-008,5.08163e-007,2.24885e-014
4.81633e-008,5.14286e-007,2.33417e-014
4.81633e-008,5.20408e-007,2.43257e-014
4.81633e-008,5.26531e-007,2.48525e-014
4.81633e-008,5.32653e-007,2.60355e-014
4.81633e-008,5.38776e-007,2.70412e-014
4.81633e-008,5.44898e-007,2.73441e-014
4.81633e-008,5.5102e-007,2.88758e-014
4.81633e-008,5.57143e-007,2.98811e-014
4.81633e-008,5.63265e-007,3.06493e-014
4.81633e-008,5.69388e-007,3.15481e-014
4.81633e-008,5.7551e-007,3.22163e-014
4.81633e-008,5.81633e-007,3.29126e-014
4.81633e-008,5.87755e-007,3.42669e-014
4.81633e-008,5.93878e-007,3.50827e-014
4.81633e-008,6e-007,3.58376e-014
4.89796e-008,3e-007,1.61585e-015
4.89796e-008,3.06122e-007,1.87036e-015
4.89796e-008,3.12245e-007,2.05182e-015
4.89796e-008,3.18367e-007,2.26205e-015
4.89796e-008,3.2449e-007,2.59494e-015
4.89796e-008,3.30612e-007,2.88778e-015
4.89796e-008,3.36735e-007,3.20673e-015
4.89796e-008,3.42857e-007,3.49127e-015
4.89796e-008,3.4898e-007,3.8515e-015
4.89796e-008,3.55102e-007,4.12915e-015
4.89796e-008,3.61224e-007,4.53813e-015
4.89796e-008,3.67347e-007,5.16543e-015
4.89796e-008,3.73469e-007,5.45303e-015
4.89796e-008,3.79592e-007,5.93349e-015
4.89796e-008,3.85714e-007,6.289e-015
4.89796e-008,3.91837e-007,6.6807e-015
4.89796e-008,3.97959e-007,7.55083e-015
4.89796e-008,4.04082e-007,8.05414e-015
4.89796e-008,4.10204e-007,8.53823e-015
4.89796e-008,4.16327e-007,9.25004e-015
4.89796e-008,4.22449e-007,9.57575e-015
4.89796e-008,4.28571e-007,1.03593e-014
4.89796e-008,4.34694e-007,1.11182e-014
4.89796e-008,4.40816e-007,1.17289e-014
4.89796e-008,4.46939e-007,1.22711e-014
4.89796e-008,4.53061e-007,1.31022e-014
4.89796e-008,4.59184e-007,1.38013e-014
4.89796e-008,4.65306e-007,1.44569e-014
4.89796e-008,4.71429e-007,1.52845e-014
4.89796e-008,4.77551e-007,1.61258e-014
4.89796e-008,4.83673e-007,1.70809e-014
4.89796e-008,4.89796e-007,1.76106e-014
4.89796e-008,4.95918e-007,1.83961e-014
4.89796e-008,5.02041e-007,1.92423e-014
4.89796e-008,5.08163e-007,2.0065e-014
4.89796e-008,5.14286e-007,2.08503e-014
4.89796e-008,5.20408e-007,2.1739e-014
4.89796e-008,5.26531e-007,2.22824e-014
4.89796e-008,5.32653e-007,2.33363e-014
4.89796e-008,5.38776e-007,2.4206e-014
4.89796e-008,5.44898e-007,2.46137e-014
