r_p,wavelength,abs_sigma
4.16327e-008,4.34694e-007,1.01372e-014
4.16327e-008,4.40816e-007,1.2615e-014
4.16327e-008,4.46939e-007,1.36327e-014
4.16327e-008,4.53061e-007,1.35286e-014
4.16327e-008,4.59184e-007,1.24493e-014
4.16327e-008,4.65306e-007,1.27026e-014
4.16327e-008,4.71429e-007,1.45353e-014
4.16327e-008,4.77551e-007,1.49966e-014
4.16327e-008,4.83673e-007,1.46736e-014
4.16327e-008,4.89796e-007,1.57558e-014
4.16327e-008,4.95918e-007,1.55138e-014
4.16327e-008,5.02041e-007,1.5783e-014
4.16327e-008,5.08163e-007,1.63439e-014
4.16327e-008,5.14286e-007,1.75512e-014
4.16327e-008,5.20408e-007,1.76248e-014
4.16327e-008,5.26531e-007,1.93122e-014
4.16327e-008,5.32653e-007,1.85071e-014
4.16327e-008,5.38776e-007,1.81277e-014
4.16327e-008,5.44898e-007,1.95252e-014
4.16327e-008,5.5102e-007,1.81119e-014
4.16327e-008,5.57143e-007,1.96677e-014
4.16327e-008,5.63265e-007,1.89822e-014
4.16327e-008,5.69388e-007,1.9657e-014
4.16327e-008,5.7551e-007,2.13467e-014
4.16327e-008,5.81633e-007,2.08926e-014
4.16327e-008,5.87755e-007,1.95078e-014
4.16327e-008,5.93878e-007,1.99774e-014
4.16327e-008,6e-007,2.04697e-014
4.2449e-008,3e-007,4.84481e-015
4.2449e-008,3.06122e-007,4.12014e-015
4.2449e-008,3.12245e-007,5.88469e-015
4.2449e-008,3.18367e-007,6.6248e-015
4.2449e-008,3.2449e-007,5.7861e-015
4.2449e-008,3.30612e-007,6.80068e-015
4.2449e-008,3.36735e-007,5.66623e-015
4.2449e-008,3.42857e-007,8.68065e-015
4.2449e-008,3.4898e-007,6.92831e-015
4.2449e-008,3.55102e-007,7.41549e-015
4.2449e-008,3.61224e-007,9.67642e-015
4.2449e-008,3.67347e-007,8.067e-015
4.2449e-008,3.73469e-007,9.89511e-015
4.2449e-008,3.79592e-007,9.98255e-015
4.2449e-008,3.85714e-007,9.96581e-015
4.2449e-008,3.91837e-007,1.27012e-014
4.2449e-008,3.97959e-007,1.115e-014
4.2449e-008,4.04082e-007,1.20945e-014
4.2449e-008,4.10204e-007,1.28819e-014
4.2449e-008,4.16327e-007,1.38675e-014
4.2449e-008,4.22449e-007,1.54239e-014
4.2449e-008,4.28571e-007,1.59102e-014
4.2449e-008,4.34694e-007,1.4478e-014
4.2449e-008,4.40816e-007,1.73221e-014
4.2449e-008,4.46939e-007,1.82611e-014
4.2449e-008,4.53061e-007,1.86589e-014
4.2449e-008,4.59184e-007,1.71961e-014
4.2449e-008,4.65306e-007,1.75591e-014
4.2449e-008,4.71429e-007,1.96813e-014
4.2449e-008,4.77551e-007,2.00518e-014
4.2449e-008,4.83673e-007,1.99226e-014
4.2449e-008,4.89796e-007,2.11355e-014
4.2449e-008,4.95918e-007,2.08002e-014
4.2449e-008,5.02041e-007,2.10655e-014
4.2449e-008,5.08163e-007,2.15948e-014
4.2449e-008,5.14286e-007,2.29078e-014
